Gene stable ID,Gene name
ENSG00000100030,MAPK1
ENSG00000170345,FOS
ENSG00000284792,PTEN
ENSG00000148175,STOM
ENSG00000291971,SRC
ENSG00000100985,MMP9
ENSG00000276561,IRF7
ENSG00000276536,HRAS
ENSG00000142192,APP
ENSG00000196664,TLR7
ENSG00000277943,CCL4
ENSG00000125148,MT2A
ENSG00000109971,HSPA8
ENSG00000275824,CCL4
ENSG00000274233,CCL5
ENSG00000125538,IL1B
ENSG00000102882,MAPK3
ENSG00000197122,SRC
ENSG00000068971,PPP2R5B
ENSG00000277571,ELANE
ENSG00000162692,VCAM1
ENSG00000262418,PTPRC
ENSG00000164111,ANXA5
ENSG00000108342,CSF3
ENSG00000169896,ITGAM
ENSG00000100448,CTSG
ENSG00000148400,NOTCH1
ENSG00000090339,ICAM1
ENSG00000148926,ADM
ENSG00000228978,TNF
ENSG00000138646,HERC5
ENSG00000104918,RETN
ENSG00000107643,MAPK8
ENSG00000204490,TNF
ENSG00000228321,TNF
ENSG00000261371,PECAM1
ENSG00000149131,SERPING1
ENSG00000101916,TLR8
ENSG00000230108,TNF
ENSG00000169245,CXCL10
ENSG00000126262,FFAR2
ENSG00000089685,BIRC5
ENSG00000228849,TNF
ENSG00000223952,TNF
ENSG00000163739,CXCL1
ENSG00000104325,DECR1
ENSG00000136869,TLR4
ENSG00000169429,CXCL8
ENSG00000174125,TLR1
ENSG00000174130,TLR6
ENSG00000067225,PKM
ENSG00000221983,UBA52
ENSG00000206439,TNF
ENSG00000138798,EGF
ENSG00000109320,NFKB1
ENSG00000139572,GPR84
ENSG00000164400,CSF2
ENSG00000111640,GAPDH
ENSG00000164342,TLR3
ENSG00000113368,LMNB1
ENSG00000164305,CASP3
ENSG00000080824,HSP90AA1
ENSG00000257017,HP
ENSG00000239732,TLR9
ENSG00000115414,FN1
ENSG00000100906,NFKBIA
ENSG00000164047,CAMP
ENSG00000163823,CCR1
ENSG00000136997,MYC
ENSG00000232810,TNF
ENSG00000136244,IL6
ENSG00000113520,IL4
ENSG00000001626,CFTR
ENSG00000146648,EGFR
ENSG00000170315,UBB
ENSG00000142208,AKT1
ENSG00000171862,PTEN
ENSG00000073756,PTGS2
ENSG00000187608,ISG15
ENSG00000143947,RPS27A
ENSG00000197561,ELANE
ENSG00000112062,MAPK14
ENSG00000026508,CD44
ENSG00000112715,VEGFA
ENSG00000108691,CCL2
ENSG00000118520,ARG1
ENSG00000150337,FCGR1A
ENSG00000184557,SOCS3
ENSG00000169252,ADRB2
ENSG00000150991,UBC
ENSG00000165494,PCF11
ENSG00000114013,CD86
ENSG00000163631,ALB
ENSG00000160791,CCR5
ENSG00000137462,TLR2
ENSG00000005381,MPO
ENSG00000254647,INS
ENSG00000173039,RELA
ENSG00000171860,C3AR1
ENSG00000185507,IRF7
ENSG00000170606,HSPA4
ENSG00000135114,OASL
ENSG00000275302,CCL4
ENSG00000111537,IFNG
ENSG00000017427,IGF1
ENSG00000121966,CXCR4
ENSG00000133703,KRAS
ENSG00000174775,HRAS
ENSG00000115415,STAT1
ENSG00000172936,MYD88
ENSG00000271503,CCL5
ENSG00000141510,TP53
ENSG00000162551,ALPL
ENSG00000136634,IL10
ENSG00000168610,STAT3
ENSG00000116663,FBXO6
ENSG00000081237,PTPRC
ENSG00000138061,CYP1B1
ENSG00000070831,CDC42
ENSG00000177606,JUN
ENSG00000187554,TLR5
