"Bacteria","Correlation","P.value"
"Trichoderma atroviride",0.163411370463203,0.0465767128668319
"[Clostridium] bolteae",0.146383782445843,0.0740436237842372
"Streptococcus pseudopneumoniae",0.146574857261351,0.0748304006605987
"Haemophilus influenzae",0.122213279741683,0.0956948936388718
"Staphylococcus capitis",0.136910580958405,0.0961042812300688
"Pandoraea thiooxydans",0.130712288634268,0.112847668535673
"Vitis vinifera",0.127049007394348,0.119552319089746
"Massilia sp. WG5",0.12389251705335,0.132890732035193
"Finegoldia magna",0.118209374069251,0.151611126090983
"Sphingomonas sp. LK11",0.112646895085277,0.169240814456033
"Bacteroides thetaiotaomicron",0.11201585878526,0.172504181909773
"Blastococcus saxobsidens",0.11194453384246,0.173640749655484
"Streptococcus pneumoniae",0.101608000489936,0.198432510387428
"Granulibacter bethesdensis",0.103497908682412,0.206588882892005
"Microbacterium foliorum",0.102280257539514,0.213817595182989
"Hordeum vulgare",0.0977797921806215,0.232782528979332
"Sodalis glossinidius",0.0965759982407219,0.236695074067151
"Collinsella aerofaciens",0.0948124076690558,0.246317077371523
"Moraxella bovoculi",0.0922483542937435,0.261242183259808
"Cutibacterium granulosum",0.089612687028208,0.275114006874424
"Ureaplasma parvum",0.0886061343082351,0.277639220430817
"Gluconobacter oxydans",0.0876359365790563,0.285842260204585
"Beta vulgaris",0.0864326938576859,0.287649959006833
"Brachypodium distachyon",0.0855124546595708,0.291837720332982
"Anaerostipes hadrus",0.0860999161535209,0.292429332067431
"Prevotella jejuni",0.073186335069002,0.366973704045951
"Aureobasidium pullulans",0.0618868907001134,0.444619979522149
"Mucilaginibacter sp. PAMC 26640",0.0613268423247214,0.451499043888778
"Jeotgalibaca sp. PTS2502",0.0591046870346257,0.473416108938316
"Pneumocystis jirovecii",0.0570200703668544,0.474993091741563
"Hydrogenophilus thermoluteolus",0.0579846798417816,0.480079407406577
"Lactobacillus sakei",0.0527133453107106,0.520888027163792
"Rhodotorula glutinis",0.0516156257855067,0.524608413036843
"Brachybacterium sp. VR2415",0.0520348601662957,0.52543535082705
"Kocuria rhizophila",0.0474603669648631,0.562477085860149
"Zymoseptoria tritici",0.047149954084071,0.564252055524303
"Vibrio vulnificus",0.0467830939632556,0.568844077298428
"Morganella morganii",0.0461249550822433,0.572751481397676
"[Clostridium] saccharolyticum",0.0450062904422782,0.581335424886766
"Streptococcus parasanguinis",0.0446013087139677,0.586251147629572
"Klebsiella oxytoca",0.0428295930649523,0.60194438913983
"Rhodococcus sp. PBTS 1",0.0405986271627142,0.620295731053389
"Lactobacillus paragasseri",0.0386571052117849,0.638464470330358
"Cryptococcus gattii VGI",0.0375582585338813,0.64737730441092
"Staphylococcus haemolyticus",0.0360241339612816,0.66022102940338
"Oryza sativa",0.0352354865014115,0.669086756383896
"Selenomonas sp. oral taxon 920",0.0338249670603118,0.680987510466245
"Afipia felis",0.0338249670603118,0.680987510466245
"Bacillus thermoamylovorans",0.0322142543431541,0.695398862700895
"Fermentimonas caenicola",0.0306035416259964,0.709921100856628
"Staphylococcus pasteuri",0.027382116191681,0.739279102053708
"Intrasporangium calvum",0.027382116191681,0.739279102053708
"Modestobacter marinus",0.027382116191681,0.739279102053708
"Plesiomonas shigelloides",0.0268751475584164,0.742940742033146
"[Ruminococcus] torques",0.0251124755447769,0.75879101488718
"Actinomyces naeslundii",0.0251597126078792,0.758822193054144
"Alistipes finegoldii",0.0249660471159444,0.761552486254142
"Anaerococcus prevotii",0.0249660471159444,0.761552486254142
"Rufibacter sp. DG31D",0.0217442549406681,0.791151542274397
"Roseateles depolymerans",0.0201339089644713,0.806679529809304
"Aspergillus niger",0.0200134077562676,0.807055265667366
"Trueperella pyogenes",0.0191085876751326,0.815981390740094
"Odoribacter splanchnicus",0.016472920409597,0.840997395132224
"Aggregatibacter actinomycetemcomitans",0.0153801740201465,0.849330322808057
"Gardnerella vaginalis",0.0152229750451436,0.851743273400476
"Porphyromonas asaccharolytica",0.0131783363276776,0.87249172356182
"Aspergillus oryzae",0.0126580191868907,0.876749474766942
"Muribacter muris",0.0102499900182763,0.900258978849294
"Streptococcus salivarius",0.00571811650179073,0.94436952128241
"Bradyrhizobium elkanii",0.0035874965063967,0.965010444378786
"Psychrobacter alimentarius",0.00263566726553553,0.97439321500054
"Aerococcus urinaeequi",0.00131783363276776,0.987194958560164
"Rodentibacter heylii",0.000385191237205274,0.996211504787689
